Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Babar Azam (PAK),2019-2023,57,56,4,3229,158,62.09,3502,92.2,11,22,2,314,37
SD Hope (WI),2019-2023,69,68,9,3163,170,53.61,3970,79.67,11,16,1,277,50
V Kohli (IND),2019-2023,61,57,6,2682,166*,52.58,2780,96.47,7,21,4,247,32
RG Sharma (IND),2019-2023,52,50,5,2504,159,55.64,2399,104.37,9,13,3,273,94
DA Warner (AUS),2019-2023,51,51,2,2482,166,50.65,2518,98.57,8,15,2,268,56
Mushfiqur Rahim (BAN),2019-2023,62,59,9,2185,125,43.7,2561,85.31,3,16,1,167,24
KL Rahul (IND),2019-2023,54,51,10,2185,112,53.29,2480,88.1,5,14,1,172,50
Q de Kock (SA),2019-2023,47,47,2,2125,174,47.22,2145,99.06,7,9,1,232,50
Shubman Gill (IND),2020-2023,38,38,6,2097,208,65.53,2034,103.09,6,11,1,237,44
PR Stirling (IRE),2019-2023,51,48,1,2087,162,44.4,2428,85.95,7,10,4,214,58
Fakhar Zaman (PAK),2019-2023,50,49,2,2049,193,43.59,2229,91.92,8,7,4,217,53
Imam-ul-Haq (PAK),2019-2023,51,50,3,2048,151,43.57,2468,82.98,4,15,2,177,20
N Pooran (WI),2019-2023,60,57,8,1983,118,40.46,1996,99.34,3,11,2,157,80
Litton Das (BAN),2019-2023,57,56,6,1967,176,39.34,2218,88.68,4,11,8,208,36
BKG Mendis (SL),2019-2023,58,57,7,1914,122,38.28,2195,87.19,2,13,5,178,36
Shakib Al Hasan (BAN),2019-2023,51,50,7,1911,124*,44.44,2210,86.47,2,15,2,183,14
HE van der Dussen (SA),2019-2023,48,43,7,1902,134,52.83,2049,92.82,6,9,1,151,34
Tamim Iqbal (BAN),2019-2023,54,53,4,1897,158,38.71,2352,80.65,3,12,2,220,21
SPD Smith (AUS),2019-2023,44,42,3,1828,131,46.87,2030,90.04,4,12,3,180,19
SS Iyer (IND),2019-2023,48,44,5,1807,113*,46.33,1836,98.42,3,14,1,169,43
AJ Finch (AUS),2019-2022,42,42,2,1805,153*,45.12,2091,86.32,6,11,6,157,49
Rahmat Shah (AFG),2019-2023,46,46,2,1711,113,38.88,2348,72.87,2,13,3,162,18
V Aravind (UAE),2019-2023,55,55,3,1693,115*,32.55,2391,70.8,2,8,6,171,15
P Nissanka (SL),2021-2023,47,47,4,1685,137,39.18,1996,84.41,3,13,4,212,9
JM Bairstow (ENG),2019-2023,46,42,0,1676,128,39.9,1663,100.78,5,8,6,196,45
A Vala (PNG),2019-2023,48,48,1,1630,104,34.68,2296,70.99,1,10,4,129,26
Mahmudullah (BAN),2019-2023,56,49,13,1621,111,45.02,2051,79.03,1,8,1,105,40
Sikandar Raza (ZIM),2019-2023,48,44,7,1612,135*,43.56,1667,96.7,4,8,2,124,48
JJ Roy (ENG),2019-2023,43,39,1,1610,153,42.36,1525,105.57,5,9,4,197,36
MG Erasmus (NAM),2019-2023,40,39,4,1593,125,45.51,1993,79.92,2,12,3,121,35
AK Markram (SA),2019-2023,45,42,6,1591,175,44.19,1542,103.17,3,9,3,156,39
SC Williams (ZIM),2019-2023,34,33,4,1591,174,54.86,1572,101.2,6,6,1,170,23
Mohammad Rizwan (PAK),2019-2023,46,42,8,1578,131*,46.41,1731,91.16,3,10,2,138,16
TWM Latham (NZ),2019-2023,57,50,7,1555,145*,36.16,1755,88.6,3,9,4,128,20
HT Tector (IRE),2020-2023,40,37,6,1552,140,50.06,1840,84.34,4,11,3,121,40
JC Buttler (ENG),2019-2023,49,44,4,1542,162*,38.55,1338,115.24,4,7,2,111,59
M Labuschagne (AUS),2020-2023,45,43,2,1540,124,37.56,1792,85.93,2,10,2,125,6
AT Carey (AUS),2019-2023,58,52,9,1465,106,34.06,1628,89.98,1,8,4,130,16
A Balbirnie (IRE),2019-2023,48,46,3,1460,135,33.95,1876,77.82,5,7,2,148,19
Aaron Jones (USA),2019-2023,43,43,3,1454,123*,36.35,2054,70.78,1,10,2,95,28
MD Patel (USA),2019-2023,47,47,3,1446,130,32.86,1836,78.75,2,10,7,106,21
KIC Asalanka (SL),2021-2023,48,42,5,1444,110,39.02,1650,87.51,1,10,2,116,28
S Dhawan (IND),2019-2022,39,37,3,1438,117,42.29,1727,83.26,1,12,0,176,12
DJ Mitchell (NZ),2021-2023,37,33,5,1400,130,50.0,1458,96.02,5,5,0,114,35
SA Edwards (NED),2019-2023,43,40,7,1389,86,42.09,1499,92.66,0,15,3,109,14
DA Miller (SA),2019-2023,47,38,12,1388,91,53.38,1231,112.75,0,12,1,100,50
RK Paudel (NEP),2020-2023,50,49,5,1388,126,31.54,1836,75.59,1,7,4,108,25
H Klaasen (SA),2020-2023,34,32,5,1387,174,51.37,1102,125.86,4,5,1,116,52
JE Root (ENG),2019-2023,43,39,4,1344,107,38.4,1538,87.38,2,9,5,108,9
DJ Malan (ENG),2019-2023,28,28,4,1332,140,55.5,1375,96.87,6,6,5,135,30
